Name,"Short description",Description,"Regular price",Images
"First Man In: Leading from the Front by Ant Middleton - Hardcover","<ul>
 	<li>No. 1 on The Sunday Times Best Seller List - a fascinating, exhilarating and revealing book.</li>
 	<li>Ant speaks about the highs and gut-wrenching lows of his life - from the thrill of passing Special Forces Selection to dealing with the early death of his father and ending up in prison on leaving the military.</li>
 	<li>Draws valuable lessons that we can all use in our daily lives.</li>
</ul>","No one is a born leader. But through sheer determination and by confronting life's challenges, Ant Middleton has come to know the meaning of true leadership. In First Man In, he shares the core lessons he's learned over the course of his fascinating, exhilarating life.

After 13 years service in the military, with 4 years as a Special Boat Service (SBS) sniper, Ant Middleton is the epitome of what it takes to excel. He served in the SBS, the naval wing of the special forces, the Royal Marines and 9 Parachute Squadron Royal, achieving what is known as the 'Holy Trinity' of the UK's Elite Forces. As a point man in the SBS, Ant was always the first man through the door, the first man into the dark and the first man in harm's way.",10,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/firstmanin.jpg
"This is Going to Hurt: Secret Diaries of a Junior Doctor by Adam Kay - Paperback","<ul>
 	<li>The Sunday Times Number One Bestseller and Humour Book of the Year.</li>
 	<li>Winner of the Books Are My Bag Book of the Year.</li>
 	<li>Winner of iBooks' Book of the Year.</li>
</ul>","Welcome to the life of a junior doctor: 97-hour weeks, life and death decisions, a constant tsunami of bodily fluids, and the hospital parking meter earns more than you.

Scribbled in secret after endless days, sleepless nights and missed weekends, Adam Kay's 'This is Going to Hurt' provides a no-holds-barred account of his time on the NHS front line. Hilarious, horrifying and heartbreaking, this diary is everything you wanted to know - and more than a few things you didn't - about life on and off the hospital ward.",3.75,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/thisisgoingtohurt.jpg
"You Are Awesome: Find Your Confidence and Dare to be Brilliant at (Almost) Anything by Matthew Syed - Paperback","<ul>
 	<li>The Sunday Times number one bestseller.</li>
 	<li>A truly inspiring book for the younger generation.</li>
</ul>","A very funny and inspiring read! Brilliantly practical with a wide variety of examples that make it relevant for both boys and girls (and adults). This positive and empowering guide, by bestselling mindset author Matthew Syed, will help boys and girls build resilience, fulfil their potential and become successful, happy, awesome adults.

If you believe you can't do something, the chances are you won't try. But what if you really could get better at maths or sport or exams? In fact, what if you could excel at anything you put your mind to? You Are Awesome can help you do just that, inspiring and empowering young readers to find the confidence to realize their potential.

The first children's book from Times journalist, two-time Olympian and best-selling mindset author, Matthew Syed, uses examples of successful people from Mozart to Serena Williams to demonstrate that success really is earned rather than given and that talent can be acquired. With hard work and determination, practice and self-belief, and, most importantly, a Growth Mindset, there's no reason why anyone can't achieve anything.

Practical, insightful and positive, this is the book to help children build resilience, embrace their mistakes and grow into successful, happy adults.",4.99,"https://bookstore.mywoocart.com/wp-content/uploads/2018/08/youareawesome1.jpg, https://bookstore.mywoocart.com/wp-content/uploads/2018/08/youareawesome3.jpg, https://bookstore.mywoocart.com/wp-content/uploads/2018/08/youareawesome2.jpg"
"Notes on a Nervous Planet by Matt Haig - Hardcover","<ul>
 	<li>A personal and vital look at how to feel happy, human and whole in the twenty-first century.</li>
 	<li>A view over questions like: How can we stay sane on a planet that makes us mad? How do we stay human in a technological world? How do we feel happy when we are encouraged to be anxious?</li>
</ul>","Notes on a Nervous Planet is a fascinating look at the link between anxiety and the world we live in. Matt Haig has written really something rather special here - the definitive user manual for your own head. It's a self-help book that - unusually for the genre - talks in sensible, practical terms, not in vague aphorisms and allegories.

Recommended for anyone who's ever wobbled and that's all of us. Haig's bestseller 'Reasons to Stay Alive' was an engaging self-help memoir which mined personal trauma for valuable life lessons. This follow-up is a rag-bag of personal experience, thoughts and feelings. Some thought-provoking, some pertinent and important.

Matt Haig is a smart operator who knows his readership and genuinely wants to help them. After experiencing years of anxiety and panic attacks, these questions became urgent matters of life and death for him. And he began to look for the link between what he felt and the world around him.",9.35,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/notesnervousplanet.jpg
"12 Rules for Life: An Antidote to Chaos by Jordan B. Peterson - Hardcover","<ul>
 	<li>Sunday Times and International Bestseller from the most influential public intellectual in the Western world right now.</li>
 	<li>Humorous, surprising and informative.</li>
</ul>","Renowned psychologist Jordan B Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.

Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily and why you should always pet a cat when you meet one on the street.

What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant and vengeful?",11.79,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/12rulesforlife.jpg
"Eleanor Oliphant is Completely Fine by Gail Honeyman - Paperback","<ul>
 	<li>Winner of the Costa First Novel Award 2017.</li>
 	<li>Longlisted for the Women's Prize for Fiction 2018.</li>
 	<li>No.1 Sunday Times bestseller.</li>
 	<li>Soon to be a major motion picture produced by Reese Witherspoon.</li>
</ul>","Eleanor Oliphant leads a simple life. She wears the same clothes to work every day, eats the same meal deal for lunch every day and buys the same two bottles of vodka to drink every weekend. Eleanor Oliphant is happy. Nothing is missing from her carefully timetabled life. Except, sometimes, everything.

One simple act of kindness is about to shatter the walls Eleanor has built around herself. Now she must learn how to navigate the world that everyone else seems to take for granted - while searching for the courage to face the dark corners she's avoided all her life.",4.49,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/eleanoroliphant.jpg
"Little Fires Everywhere by Celeste Ng, The New York Times Top Ten Bestseller - Paperback","<ul>
 	<li>The New York Times Top 10 Best Seller.</li>
 	<li>Amazon's Best Novel Of 2017.</li>
 	<li>Winner Of The Goodreads Readers' Choice Award 2017, Fiction.</li>
 	<li>A complex and compulsively readable suburban saga that is deeply invested in mothers and daughters.</li>
</ul>","From the bestselling author of Everything I Never Told You, a riveting story that traces the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives. This is a book that believes in the transformative powers of art and genuine kindness - and in the promise of new growth, even after devastation, even after everything has turned to ash.

A finely wrought meditation on the nature of motherhood, the dangers of privilege and a cautionary tale about how even the tiniest of secrets can rip families apart. Ng is a master at pushing to look at our personal and societal flaws in the face and see them with new eyes. If Little Fires Everywhere doesn't give you pause and help you think differently about humanity and this country's current state of affairs, start over from the beginning and read the book again.",5.99,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/littlefires.jpg
"The Keeper of Lost Things by Ruth Hogan, winner of the Richard &amp; Judy Readers' Award - Paperback","<ul>
 	<li>Winner of the Richard &amp; Judy Readers' Award.</li>
 	<li>The perfect holiday read, recommended by thousands of readers.</li>
 	<li>One of the Mails on Sunday's 'Best books for the beach this summer.</li>
</ul>","Once a celebrated author of short stories now in his twilight years, Anthony Peardew has spent half his life lovingly collecting lost objects, trying to atone for a promise broken many years before.

Realising he is running out of time, he leaves his house and all its lost treasures to his assistant Laura, the one person he can trust to fulfil his legacy and reunite the thousands of objects with their rightful owners. But the final wishes of the Keeper of Lost Things have unforeseen repercussions which trigger a most serendipitous series of encounters...

With an unforgettable cast of characters that includes young girls with special powers, handsome gardeners, irritable ghosts and an array of irresistible four-legged friends, The Keeper of Lost Things is a debut novel of endless possibilities and joyful discoveries.",6.2,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/thekeeper.jpg
"Close to Home by Cara Hunter, Richard &amp; Judy Book Club thriller pick 2018 - Paperback","<ul>
 	<li>A Richard &amp; Judy Book Club pick for Spring 2018.</li>
 	<li>The Sunday Times and #1 Kindle bestseller.</li>
 	<li>One of the best crime thrillers.</li>
</ul>","Someone took Daisy Mason. Someone YOU KNOW. Last night, 8-year-old Daisy Mason disappeared from her parents' summer party. No one in the quiet suburban street saw anything - or at least that's what they're saying.

DI Adam Fawley is trying to keep an open mind. But he knows that nine times out of ten, it's someone the victim knew. That means someone is lying. And that Daisy's time is running out...

Introducing DI Fawley and his team of Oxford detectives, CLOSE TO HOME is a pulse-pounding race against time and a penetrating examination of what happens to a community when a shocking crime is committed by one of its own.",3.99,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/closetohome.jpg
"The Tattooist of Auschwitz by Heather Morris, the heart-breaking and unforgettable international bestseller - Kindle Edition","<ul>
 	<li>One of the most life-affirming, courageous, unforgettable and human stories of the Holocaust: the love story of the tattooist of Auschwitz.</li>
 	<li>A heart-breaking story of the very best of humanity in the very worst of circumstances.</li>
</ul>","In 1942, Lale Sokolov arrived in Auschwitz-Birkenau. He was given the job of tattooing the prisoners marked for survival - scratching numbers into his fellow victims' arms in indelible ink to create what would become one of the most potent symbols of the Holocaust.

Waiting in line to be tattooed, terrified and shaking, was a young girl. For Lale - a dandy, a jack-the-lad, a bit of a chancer - it was love at first sight. And he was determined not only to survive himself but to ensure this woman, Gita, did, too.",2.63,https://bookstore.mywoocart.com/wp-content/uploads/2018/08/thetattooist.jpg
