Name,"Short description",Description,"Sale price",Images
"Cushion Stone Slide Bracelet","<ul>
 	<li>Adjustable.</li>
 	<li>Slide Clasp.</li>
 	<li>Rose Gold Plated / Swarovski Crystal.</li>
 	<li>Packaged in ADORE Jewellery Pouch &amp; Box.</li>
</ul>","The soft rose gold plated snake chain forms a brilliant and bold contemporary look. An adjustable sliding closure holds a Swarovski cushion cut Indian sapphire coloured stone and ensures a perfect fit. Stack and sparkle with other ADORE favourites.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-bracelet-3.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-bracelet-5.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-bracelet-4.jpg"
"Organic Circle Charm Plated Bracelet","<ul>
 	<li>6.5-8 inch Adjustable.</li>
 	<li>Slide Clasp.</li>
 	<li>Swarovski Crystal.</li>
 	<li>Packaged in Adore Jewellery Pouch &amp; Box.</li>
</ul>","This tri-tone Organic Circle Charm Bracelet comes with a twist. This bracelet features an irregular soft circle in rhodium plating, a soft metallic disc in gold plating and a pavé charm in rose gold plating.

Embellished with sparkling Swarovski Crystals accompanying different circle forms, this bracelet is a beautiful addition to any wardrobe.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-charm-bracelet-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-charm-bracelet-3.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-charm-bracelet-2.jpg"
"Adorable Bracelet","<ul>
 	<li>Colour: Silver, White.</li>
 	<li>Theme: Anniversary, Birthday, Christmas, Mothers Day, Valentine’s Day.</li>
 	<li>Jewellery Type: Bracelets.</li>
 	<li>Material: Diamond, Silver, Zirconia.</li>
</ul>","Two hearts come together, yet remain true to themselves. This Adorable Bracelet measures 24 cm and fastens via a draw mechanism. The larger of the two hearts features a real diamond and the smaller features 28 beautiful white topaz stones.

All Hot Diamonds products are perfectly presented in Hot Diamonds packaging with a gift bag and Certificate of Authenticity.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/hotdiam-bracelet-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/hotdiam-bracelet-2.jpg"
"Serpentine Sterling Silver &amp; Pink Opal Gemstone Bracelet","<ul>
 	<li>Adjustable stations: 15 cm, 17 cm and 19 cm.</li>
 	<li>Colour: Silver.</li>
 	<li>Gemstone: Pink Opal.</li>
 	<li>Dimensions: length 19 cm/7.4 in, width 1.17 cm/0.46 in.</li>
</ul>","The Serpentine Sterling Silver &amp; Pink Opal Gemstone Bracelet will add a modern London feel to your daily style. Featuring three exquisite pink opal gems along an adjustable silver chain, it creates a bespoke finish.

Its unique curved design makes it an extra special piece that is ideal for evening wear or delicate bridal jewellery.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-bracelet-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-bracelet-4.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-bracelet-2.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-bracelet-3.jpg"
"Serpentine Sterling Silver &amp; Pink Opal Gemstone Necklace","<ul>
 	<li>Material: Sterling Silver.</li>
 	<li>Gemstone: Pink Opal.</li>
 	<li>Dimensions: length 45 cm/17.7 in, width 0.28 cm/0.11 in.</li>
</ul>","The Serpentine Sterling Silver &amp; Pink Opal Gemstone Necklace will become the highlight of your silver jewellery collection. Simple yet distinctive, its bespoke design features an eye-catching pink opal gemstone encased in a sleek silver curved motif.

Featuring an adjustable silver chain and the powerful healing stone associated with good luck, it is an ideal gift and a perfect addition to bridal jewellery.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-london-necklace-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-london-necklace-2.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/links-london-necklace-3.jpg"
"Rhodium Plated Round Cluster Y Necklace with Swarovski Crystals","<ul>
 	<li>16-18 Adjustable.</li>
 	<li>Lobster Clasp.</li>
 	<li>Swarovski Metallic Blue Crystal/Rhodium Plated.</li>
 	<li>Packaged in our ADORE Jewellery Pouch &amp; Box.</li>
</ul>","The long delicate lines and sparkling clusters of regular and metallic blue Swarovski Crystals on the rhodium plated Round Cluster Y-Necklace add subtle sophisticated glamour to every look.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-necklace-4.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-necklace-3.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/adore-necklace-5.jpg"
"CARAT* London Silver Brilliant Pendant, Classic Border","<ul>
 	<li>Metal: Silver.</li>
 	<li>Stone: Synthetic Gemstone.</li>
 	<li>Stone Shape: Round Brilliant.</li>
 	<li>Stone Colour: Diamond White.</li>
 	<li>Necklace Length: 45 cm.</li>
 	<li>Style: Stone Set.</li>
 	<li>Finish: Polished.</li>
</ul>","Accessorize your wardrobe with this must-have CARAT* London silver brilliant pendant. The pendant features a Round Brilliant in an exquisite border setting. Suspended with a sterling silver rolo chain, wear it as an alternative everyday basic.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/carat-pendant-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/carat-pendant-2.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/carat-pendant-3.jpg"
"Notting Hill Trio Pendant Buckley London","<ul>
 	<li>Pendant chain length measures 40 cm plus 5 cm extender.</li>
 	<li>Comes packaged in a Buckley London gift box.</li>
</ul>","This striking pendant features a carnival of rose gold, gold and rhodium plated rings in a harlequin inspired design set with iridescent crystals and suspended from a sleek rhodium-plated snake chain.

Wear with the matching hoop earrings, rings and friendship bracelets to create a true style fiesta.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/nh-pendant-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/nh-pendant-3.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/nh-pendant-2.jpg"
"Droplet Ring","<ul>
 	<li>Colour: Rose Gold, Silver.</li>
 	<li>Collection: Droplet.</li>
 	<li>Theme: Anniversary, Birthday, Christmas.</li>
 	<li>Jewellery Type: Rings.</li>
 	<li>Material: Diamond, Rhodium Plated, Rose Gold Plated, Silver.</li>
</ul>","Crafted from stunning sterling silver and plated rose gold, this ring from the Droplets collection cleverly creates the illusion of these two precious metals sensually melting into one another, resulting in a droplet of pure elegance and beauty. As always, the ring is graced with a diamond and is available in sizes K-S.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/hot-diam-ring-2.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/hot-diam-ring-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/hot-diam-ring-3.jpg"
"Blossom Ring","<ul>
 	<li>Colour: Rose Gold, Silver.</li>
 	<li>Collection: Blossom.</li>
 	<li>Theme: Anniversary, Birthday, Christmas, Mother’s Day.</li>
 	<li>Jewellery Type: Rings.</li>
 	<li>Material: Diamond, Rhodium Plated, Rose Gold Plated, Silver.</li>
</ul>","Inspired by nature, the Blossom collection includes this stunning sterling silver and rose gold ring shaped in the form of a flower's delicate petals. The Blossom Ring is graciously adorned with a real one point diamond and is available in sizes K-S.

All Hot Diamonds products are beautifully crafted from sterling silver and are always adorned with at least one real diamond. The perfect accessory to any outfit. All jewellery will come beautifully packaged in branded gift box and bag.",,"https://jewellery.mywoocart.com/wp-content/uploads/2018/08/blossom-ring-1.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/blossom-ring-2.jpg, https://jewellery.mywoocart.com/wp-content/uploads/2018/08/blossom-ring-3.jpg"
